Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Myanmar,MMR,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Myanmar,MMR,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,13.77
Myanmar,MMR,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.88
Myanmar,MMR,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,18.75
Myanmar,MMR,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,24.42
Myanmar,MMR,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.7
Myanmar,MMR,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,33.77
Myanmar,MMR,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,49.8
Myanmar,MMR,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,55.97
Myanmar,MMR,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.09
Myanmar,MMR,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.04
Myanmar,MMR,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.3
Myanmar,MMR,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.84
Myanmar,MMR,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.6
Myanmar,MMR,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,29
Myanmar,MMR,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,31.91
Myanmar,MMR,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.6
Myanmar,MMR,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.52
Myanmar,MMR,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.71
Myanmar,MMR,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,29.09
Myanmar,MMR,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,33.53
Myanmar,MMR,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,40.07
Myanmar,MMR,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,46.09
Myanmar,MMR,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,51.27
Myanmar,MMR,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,60.95
Myanmar,MMR,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,73.02
Myanmar,MMR,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,75.84
Myanmar,MMR,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,16.95
Myanmar,MMR,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,21.2
Myanmar,MMR,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.67
Myanmar,MMR,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,29.28
Myanmar,MMR,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,34.71
Myanmar,MMR,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,47.27
Myanmar,MMR,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,56.94
Myanmar,MMR,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,68.86
Myanmar,MMR,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,71.19
Myanmar,MMR,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,10.1
Myanmar,MMR,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.29
Myanmar,MMR,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,11.54
Myanmar,MMR,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,20.04
Myanmar,MMR,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,32.1
Myanmar,MMR,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,34.5
Myanmar,MMR,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,43.24
Myanmar,MMR,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,59.7
Myanmar,MMR,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,71.77
Myanmar,MMR,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,7.55
Myanmar,MMR,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.26
Myanmar,MMR,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,9.11
Myanmar,MMR,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,14.41
Myanmar,MMR,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,19.12
Myanmar,MMR,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,31.6
Myanmar,MMR,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,39.44
Myanmar,MMR,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,54.9
