Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Philippines,PHL,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.92
Philippines,PHL,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.42
Philippines,PHL,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.66
Philippines,PHL,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.83
Philippines,PHL,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.2
Philippines,PHL,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.5
Philippines,PHL,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.3
Philippines,PHL,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.5
Philippines,PHL,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.16
Philippines,PHL,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.26
Philippines,PHL,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.6
Philippines,PHL,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.7
Philippines,PHL,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.85
Philippines,PHL,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.4
Philippines,PHL,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.32
Philippines,PHL,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.2
Philippines,PHL,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.6
Philippines,PHL,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.56
Philippines,PHL,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.76
Philippines,PHL,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.23
Philippines,PHL,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.7
Philippines,PHL,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.69
Philippines,PHL,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.73
Philippines,PHL,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.26
