Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Thailand,THA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.47
Thailand,THA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.93
Thailand,THA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.53
Thailand,THA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.81
Thailand,THA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.46
Thailand,THA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.27
Thailand,THA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4
Thailand,THA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,13.71
Thailand,THA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.7
Thailand,THA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.46
Thailand,THA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.12
Thailand,THA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.7
Thailand,THA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.53
Thailand,THA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.39
Thailand,THA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.02
Thailand,THA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.3
Thailand,THA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.4
Thailand,THA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.2
Thailand,THA,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.82
Thailand,THA,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.9
Thailand,THA,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.54
Thailand,THA,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.1
Thailand,THA,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.57
