Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Vietnam,VNM,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,57.77
Vietnam,VNM,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,38.15
Vietnam,VNM,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,23.86
Vietnam,VNM,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,13.87
Vietnam,VNM,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.87
Vietnam,VNM,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.5
Vietnam,VNM,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.7
Vietnam,VNM,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.59
Vietnam,VNM,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.39
Vietnam,VNM,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,55.09
Vietnam,VNM,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,36.29
Vietnam,VNM,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.75
Vietnam,VNM,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,13.11
Vietnam,VNM,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.75
Vietnam,VNM,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.98
Vietnam,VNM,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.9
Vietnam,VNM,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.25
Vietnam,VNM,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.47
Vietnam,VNM,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.84
Vietnam,VNM,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.71
Vietnam,VNM,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.44
Vietnam,VNM,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.9
Vietnam,VNM,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.75
Vietnam,VNM,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,21.57
Vietnam,VNM,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.61
Vietnam,VNM,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,32.87
Vietnam,VNM,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,39.58
Vietnam,VNM,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.2
Vietnam,VNM,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.69
Vietnam,VNM,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.79
Vietnam,VNM,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.38
Vietnam,VNM,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.2
Vietnam,VNM,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,16.2
Vietnam,VNM,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,20.5
